2021-11-26 13:05:29.389 ERROR 20916 --- [restartedMain] o.s.b.c.l.LoggingApplicationListener     : Cannot set level '=debu' for 'org.springframework.web'
2021-11-26 13:05:29.493  INFO 20916 --- [restartedMain] c.i.s.web.SpringBootFirstWebApplication  : Starting SpringBootFirstWebApplication on Athelas with PID 20916 (D:\OneDrive\Study\DevOps\DeploySpringBootToAzure\03-todo-web-application-mysql\target\classes started by mails in D:\OneDrive\Study\DevOps\DeploySpringBootToAzure\03-todo-web-application-mysql)
2021-11-26 13:05:29.493  INFO 20916 --- [restartedMain] c.i.s.web.SpringBootFirstWebApplication  : No active profile set, falling back to default profiles: default
2021-11-26 13:05:29.547  INFO 20916 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-11-26 13:05:29.548  INFO 20916 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-11-26 13:05:30.775  INFO 20916 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2021-11-26 13:05:30.871  INFO 20916 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 83ms. Found 1 repository interfaces.
2021-11-26 13:05:31.465  INFO 20916 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a2294f10] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-26 13:05:31.809  INFO 20916 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2021-11-26 13:05:31.838  INFO 20916 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-11-26 13:05:31.839  INFO 20916 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.22]
2021-11-26 13:05:32.039  INFO 20916 --- [restartedMain] org.apache.jasper.servlet.TldScanner     : At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2021-11-26 13:05:32.048  INFO 20916 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2021-11-26 13:05:32.048  INFO 20916 --- [restartedMain] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2500 ms
2021-11-26 13:05:32.581  INFO 20916 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2021-11-26 13:05:33.112  INFO 20916 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2021-11-26 13:05:33.177  INFO 20916 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2021-11-26 13:05:33.303  INFO 20916 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate Core {5.3.10.Final}
2021-11-26 13:05:33.306  INFO 20916 --- [restartedMain] org.hibernate.cfg.Environment            : HHH000206: hibernate.properties not found
2021-11-26 13:05:33.520  INFO 20916 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2021-11-26 13:05:33.663  INFO 20916 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
2021-11-26 13:05:34.297  INFO 20916 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-11-26 13:05:34.338  INFO 20916 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : LiveReload server is running on port 35729
2021-11-26 13:05:34.805  INFO 20916 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2021-11-26 13:05:34.836  WARN 20916 --- [restartedMain] aWebConfiguration$JpaWebMvcConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2021-11-26 13:05:35.166  INFO 20916 --- [restartedMain] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@38426716, org.springframework.security.web.context.SecurityContextPersistenceFilter@450e6697, org.springframework.security.web.header.HeaderWriterFilter@19939a51, org.springframework.security.web.authentication.logout.LogoutFilter@3a09460c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@db2c1f9, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@113aa6a7, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@cbc8bf6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@186939c4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@12b8ff62, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4784df9b, org.springframework.security.web.session.SessionManagementFilter@4a61302c, org.springframework.security.web.access.ExceptionTranslationFilter@3d2d1d1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2cc7357c]
2021-11-26 13:05:35.201  INFO 20916 --- [restartedMain] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 16 endpoint(s) beneath base path '/manage'
2021-11-26 13:05:35.270  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : ====== Environment and configuration ======
2021-11-26 13:05:35.270  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : Active profiles: []
2021-11-26 13:05:35.273  INFO 20916 --- [restartedMain] c.i.s.w.EnvironmentConfigurationLogger   : java.specification.version
